method,image_id,cosine,forward_two_way,top1,top5
C,9188,0.8456772800010035,0.9939879759519038,0.0,1.0
C,9298,0.7389541215313837,0.9799599198396793,0.0,0.0
C,9376,0.8476051522417822,0.9899799599198397,0.0,0.0
C,9712,0.7589740160311584,0.9318637274549099,0.0,0.0
C,9877,0.7603157969639986,0.9498997995991983,0.0,0.0
C,10115,0.5991004536065048,0.2545090180360721,0.0,0.0
C,10191,0.8637413158560214,0.9979959919839679,0.0,1.0
C,10361,0.6749051059426239,0.5531062124248497,0.0,0.0
C,10602,0.8398530953587928,1.0,1.0,1.0
C,10622,0.7932530219275646,0.9539078156312625,0.0,0.0
C,11050,0.751756251468743,0.9939879759519038,0.0,1.0
C,11274,0.8604427073040738,1.0,1.0,1.0
C,11493,0.810482019158911,0.9979959919839679,0.0,1.0
C,11757,0.7888704793264012,1.0,1.0,1.0
C,11886,0.8069985365652459,0.9679358717434869,0.0,0.0
C,12122,0.6733071331885654,0.8496993987975952,0.0,0.0
C,12225,0.7038966983646904,0.7835671342685371,0.0,0.0
C,12292,0.7309328398592357,0.8937875751503006,0.0,0.0
C,12340,0.7690463611402862,0.9779559118236473,0.0,0.0
C,12386,0.7530544698144179,0.9779559118236473,0.0,0.0
C,12597,0.6761464565714084,0.7755511022044088,0.0,0.0
C,13041,0.8335301203347723,0.9839679358717435,0.0,0.0
C,13134,0.8259094281523955,1.0,1.0,1.0
C,13223,0.75032924056933,0.9519038076152304,0.0,0.0
C,13298,0.7929512603037524,1.0,1.0,1.0
C,13587,0.6592336152617071,0.5450901803607214,0.0,0.0
C,13703,0.6924974922382572,0.8637274549098196,0.0,0.0
C,13741,0.6415041892296902,0.7154308617234469,0.0,0.0
C,13749,0.6874705390585053,0.6993987975951904,0.0,0.0
C,13826,0.817975307854687,1.0,1.0,1.0
C,13842,0.8087394710106093,0.9779559118236473,0.0,0.0
C,13879,0.7027347596448784,0.9198396793587175,0.0,0.0
C,13895,0.7351570121250024,0.9659318637274549,0.0,0.0
C,13938,0.8057617930559093,0.9539078156312625,0.0,0.0
C,14049,0.7746895000143812,0.9719438877755511,0.0,0.0
C,14170,0.7593247494780435,0.9318637274549099,0.0,0.0
C,14245,0.8616784545479921,0.9959919839679359,0.0,1.0
C,14274,0.6796900581923004,0.6212424849699398,0.0,0.0
C,14728,0.8498066283762691,0.9919839679358717,0.0,1.0
C,15068,0.8416362849763777,0.9839679358717435,0.0,0.0
C,15181,0.6324039316081772,0.56312625250501,0.0,0.0
C,15182,0.7079510471749133,0.8517034068136272,0.0,0.0
C,15191,0.736983820387524,0.8677354709418837,0.0,0.0
C,15274,0.8713794899123548,0.9979959919839679,0.0,1.0
C,15386,0.7158784147638968,0.8897795591182365,0.0,0.0
C,15438,0.6728177554298895,0.6352705410821643,0.0,0.0
C,15516,0.735718388920586,0.9318637274549099,0.0,0.0
C,15631,0.7323545103563034,0.8637274549098196,0.0,0.0
C,15632,0.7514528228676788,0.9639278557114228,0.0,0.0
C,15865,0.744628350862629,0.9619238476953907,0.0,0.0
C,15898,0.7591946102601038,0.9719438877755511,0.0,0.0
C,15953,0.7448558700204668,0.9799599198396793,0.0,0.0
C,15985,0.8289659606809482,0.9939879759519038,0.0,1.0
C,16251,0.8085005784906687,1.0,1.0,1.0
C,16424,0.8186390443811702,1.0,1.0,1.0
C,16525,0.7931223473066709,0.9759519038076152,0.0,0.0
C,16625,0.8793482789289555,0.9959919839679359,0.0,1.0
C,16718,0.7200678169888793,0.9719438877755511,0.0,0.0
C,16800,0.8693655527006505,1.0,1.0,1.0
C,17017,0.7656771650812193,0.9979959919839679,0.0,1.0
C,17605,0.733010617936267,0.8296593186372746,0.0,0.0
C,17651,0.6869603891751761,0.8537074148296593,0.0,0.0
C,17795,0.6825309073769085,0.8537074148296593,0.0,0.0
C,17843,0.7829411605842832,1.0,1.0,1.0
C,17865,0.8440527152636277,1.0,1.0,1.0
C,17946,0.7748393946168763,0.9879759519038076,0.0,0.0
C,17987,0.7734091255830211,0.9659318637274549,0.0,0.0
C,18115,0.6528935618786553,0.4468937875751503,0.0,0.0
C,18159,0.7555510551507955,0.9659318637274549,0.0,0.0
C,18170,0.7588676865983138,0.9739478957915831,0.0,0.0
C,18556,0.7455573484727638,0.9098196392785571,0.0,0.0
C,18888,0.776632135354568,1.0,1.0,1.0
C,18960,0.787954374492373,0.9959919839679359,0.0,1.0
C,19331,0.8014323396685558,0.9659318637274549,0.0,0.0
C,19471,0.6915808503562416,0.7855711422845691,0.0,0.0
C,19593,0.5773216739367701,0.14829659318637275,0.0,0.0
C,19605,0.583748315870052,0.20240480961923848,0.0,0.0
C,20013,0.6874303527566015,0.905811623246493,0.0,0.0
C,20072,0.7390782202603599,0.9639278557114228,0.0,0.0
C,20317,0.7691033500320771,0.9779559118236473,0.0,0.0
C,20380,0.6263746602846811,0.46292585170340683,0.0,0.0
C,20520,0.7976722000820644,0.9959919839679359,0.0,1.0
C,20545,0.7857139352547575,0.9959919839679359,0.0,1.0
C,20863,0.7717548174767552,0.9579158316633266,0.0,0.0
C,20882,0.8311303938659251,0.9819639278557114,0.0,0.0
C,20904,0.8544989572453499,0.9859719438877755,0.0,0.0
C,21295,0.8254612742365253,0.9959919839679359,0.0,1.0
C,21414,0.852329868553202,1.0,1.0,1.0
C,21436,0.7397507413266845,0.8817635270541082,0.0,0.0
