method,image_id,CLIP_cosine,CLIP_forward_two_way,CLIP_top1,CLIP_top5,AlexNet5_forward_two_way,Inception_forward_two_way,PixCorr,SSIM
Uniform,20520,0.7424826853823527,0.9867234468937875,0.0,0.25,0.9889779559118237,0.9852204408817635,0.09035181564338447,0.21399619580429888
Uniform,20545,0.7365219447750826,0.9962424849699398,0.0,1.0,0.9456412825651304,0.9827154308617234,0.17069784988398307,0.4090356883636832
Uniform,20863,0.6486570076613037,0.9817134268537073,0.0,0.25,0.9949899799599198,0.9654308617234468,0.16749474471440823,0.2056236397422877
Uniform,20882,0.793723900523438,0.9827154308617234,0.125,0.5,0.9391282565130261,0.9754509018036072,-0.04158081962363959,0.44225947052807213
Uniform,20904,0.7589774432600092,0.9546593186372746,0.0,0.25,0.6963927855711423,0.2883266533066132,0.007390443721116911,0.10585656234637567
Uniform,21295,0.7498381082657821,0.9664328657314629,0.0,0.0,0.9962424849699398,0.972194388777555,0.1560322566580661,0.5188169099335422
Uniform,21414,0.8039826221290718,0.9979959919839679,0.625,1.0,0.9937374749498997,0.999749498997996,-0.028781330108559256,0.21677614290492497
Uniform,21436,0.6279024063637855,0.9188376753507015,0.125,0.125,0.9128256513026052,0.87625250501002,0.26285728526749086,0.22158958301494658
Uniform,21558,0.6696133463206659,0.9867234468937875,0.0,0.5,0.9448897795591182,0.9641783567134268,0.18417850555193593,0.41313059177320655
Uniform,21887,0.6425727094967202,0.9063126252505009,0.125,0.125,0.9501503006012024,0.9203406813627255,0.05814586502082152,0.1701575037150799
Uniform,22215,0.5240265441052547,0.6327655310621243,0.0,0.0,0.50125250501002,0.6730961923847696,0.07804906160897829,0.318039464174124
Uniform,22299,0.6628946699048082,0.9554108216432866,0.0,0.5,0.9892284569138277,0.6435370741482966,0.15029242572292237,0.6435320832592568
Uniform,22303,0.6254631580067194,0.9724448897795591,0.25,0.25,0.9190881763527055,0.9907314629258517,0.11629330734888396,0.23355362865505325
Uniform,22452,0.4990674408261091,0.5799098196392786,0.0,0.0,0.8574649298597194,0.8669839679358717,0.08698102299477546,0.1779792711437735
Uniform,22793,0.6818502152335117,0.9782064128256514,0.125,0.25,0.9972444889779559,0.7833166332665331,0.12047091008253541,0.27101307037851696
Uniform,22803,0.5559197580383682,0.7785571142284569,0.0,0.0,0.7129258517034068,0.46292585170340683,0.06431009614548946,0.06166830793847977
Uniform,22924,0.6701331133227793,0.9792084168336673,0.25,0.5,0.9809619238476954,0.6818637274549099,0.445842264061039,0.6096183757548601
Uniform,23314,0.8218841109775938,0.9962424849699398,0.25,1.0,0.6412825651302605,0.9897294589178357,0.05456922999137364,0.2871134675094536
Uniform,23445,0.6879508578925906,0.9326152304609219,0.0,0.0,0.6991482965931863,0.5185370741482966,0.15253026067250713,0.33826577190753243
Uniform,23479,0.5961005347057169,0.9118236472945892,0.0,0.0,0.7865731462925851,0.9942384769539079,0.10220484386625364,0.269130052680348
Uniform,23623,0.4835433516832218,0.938877755511022,0.125,0.25,0.9754509018036072,0.9942384769539078,0.006272821076473829,0.14584603300541554
Uniform,23633,0.5517624360793372,0.7099198396793587,0.0,0.0,0.751753507014028,0.8534569138276553,0.1642083561823064,0.19160423458240278
Uniform,23642,0.5752108670479734,0.9406312625250501,0.125,0.25,0.809869739478958,0.8399298597194389,0.11726926497873086,0.3649360723892141
Uniform,23803,0.7804615607521651,0.9874749498997997,0.0,0.25,0.9799599198396793,0.9932364729458918,-0.07290207178189398,0.37043216510273136
Uniform,24062,0.5389681763146945,0.7722945891783567,0.0,0.0,0.6846192384769538,0.9230961923847695,-0.011818635829625695,0.20449631435438018
Uniform,24103,0.5719753510665213,0.7737975951903808,0.0,0.0,0.4564128256513026,0.10170340681362725,0.03969249045456987,0.20003464674358518
Uniform,24306,0.7077344209260332,0.9989979959919839,0.625,1.0,0.9812124248496994,0.4123246492985972,0.21356657648851923,0.3096130177796444
Uniform,24700,0.6767798558035656,0.9629258517034068,0.125,0.125,0.8023547094188377,0.6164829659318638,0.004330551648936969,0.3697889827939903
Uniform,24790,0.5322096975877857,0.9281062124248497,0.0,0.375,0.9729458917835672,0.9959919839679359,-0.03483869813918529,0.28406131227307735
Uniform,25150,0.6512342449122982,0.93687374749499,0.0,0.375,0.9446392785571143,0.9949899799599198,0.09865713365398635,0.3457475024407137
Uniform,25166,0.6374536358086005,0.9726953907815632,0.0,0.0,0.9779559118236473,0.9483967935871743,0.5146870933999552,0.5863242316467141
Uniform,25339,0.7248704612493844,0.972194388777555,0.0,0.5,0.9203406813627254,0.6798597194388778,0.1647832362400882,0.37550450660126744
Uniform,25360,0.6327799789094898,0.9143286573146292,0.0,0.0,0.6227454909819639,0.6445390781563126,0.05474137776613191,0.20578936933699915
Uniform,25374,0.5429738045060098,0.561623246492986,0.0,0.0,0.7570140280561122,0.4461422845691383,-0.013042875098902035,0.31053824204163955
Uniform,25447,0.7357363875968659,0.9939879759519038,0.25,0.875,0.8947895791583167,0.9842184368737474,0.14601392936473773,0.18136397387697334
Uniform,26070,0.5104757906738098,0.6184869739478958,0.0,0.0,0.874749498997996,0.9428857715430862,0.1620395324978442,0.14926643323421257
Uniform,26146,0.7347368664246259,0.9892284569138277,0.125,0.625,0.876503006012024,0.9924849699398798,-0.007830801197013494,0.19165721329807067
Uniform,26419,0.5975760716905484,0.8334168336673347,0.0,0.0,0.9501503006012024,0.13351703406813628,0.3172455828944982,0.3061733024022008
Uniform,26519,0.4710048136274343,0.7670340681362726,0.0,0.0,0.9005511022044088,0.8286573146292585,0.03316328269159581,0.20487339795804305
Uniform,26535,0.5853116861970755,0.9488977955911824,0.0,0.125,0.9441382765531062,0.9536573146292585,0.0021077163408815824,0.4080010967369899
Uniform,26749,0.8037087907054206,0.996993987975952,0.5,0.875,0.9962424849699398,0.9914829659318637,0.22680924670801475,0.5487667032932795
Uniform,27131,0.5746460031159226,0.7627755511022044,0.375,0.375,0.8790080160320641,0.29308617234468937,0.016170073650274456,0.2705254520667978
Uniform,27196,0.6429967462154469,0.8990480961923848,0.0,0.0,0.9108216432865731,0.9844689378757515,0.0018340053967058258,0.24724129680542273
Uniform,27240,0.6764971934302031,0.9869739478957915,0.0,0.375,0.6943887775551102,0.935370741482966,-0.0007697174910857411,0.18957768880183917
Uniform,27260,0.646580899368113,0.9609218436873748,0.0,0.25,0.8304108216432866,0.970691382765531,0.032370025692062036,0.29850378835698443
Uniform,27648,0.775476610017231,0.9949899799599198,0.125,0.875,0.9293587174348696,0.9807114228456915,0.06711157346657327,0.23284751646874863
Uniform,27688,0.6013965180837668,0.8777555110220441,0.0,0.0,0.7705410821643286,0.6833667334669339,0.04009240950576495,0.058628380742627745
Uniform,27781,0.5234589306646715,0.5761523046092185,0.0,0.0,0.9348697394789579,0.20265531062124248,0.04505743911994242,0.35419873948032665
Uniform,28157,0.6590496238405545,0.9128256513026052,0.0,0.0,0.8722444889779559,0.8995490981963927,-0.040258574148937194,0.26079238629173823
Uniform,28253,0.5375106262098835,0.5746492985971944,0.0,0.0,0.8404308617234468,0.9228456913827655,0.31129268284140554,0.24619819241917856
Uniform,28276,0.605710204142959,0.8797595190380761,0.0,0.125,0.9426352705410821,0.5453406813627255,0.22046495013376083,0.29414923164946727
Uniform,28309,0.7006928704970343,0.9674348697394789,0.125,0.375,0.8326653306613226,0.936122244488978,-0.049336036833642974,0.36675152721108545
Uniform,28511,0.46966686833599247,0.24899799599198397,0.0,0.0,0.8539579158316633,0.843186372745491,0.11490268457312434,0.37380130686425195
Uniform,28548,0.7512633948125336,0.9589178356713426,0.0,0.0,0.9483967935871744,0.8657314629258517,0.14701116215584498,0.40449428814165256
Uniform,28979,0.5535314439474465,0.6317635270541082,0.0,0.0,0.7737975951903808,0.684869739478958,0.04936088133647883,0.13206159857588395
Uniform,29018,0.6060766643449658,0.9433867735470942,0.0,0.25,0.8554609218436873,0.250501002004008,0.05075812082435522,0.4326217672430299
